id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,date_registration,has_unregistered,average_score,assessment_and_feedback_sum_click,content_resource_sum_click,interaction_and_discussion_sum_click,navigation_pages_sum_click,tool_sum_click,final_result
235507,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,-79.0,1,6.5,0.0,7.0,135.0,48.0,0.0,Withdrawn
236284,AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,2.0,0,75.5,0.0,23.0,556.0,153.0,0.0,Pass
238007,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,-151.0,0,79.5,8.0,99.0,1308.0,517.0,3.0,Pass
240712,AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,-45.0,0,74.2,0.0,4.0,231.0,86.0,0.0,Pass
240884,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,-47.0,0,56.4,0.0,20.0,237.0,170.0,0.0,Pass
241649,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,-50.0,0,78.8,13.0,48.0,1364.0,467.0,0.0,Pass
241729,AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,-31.0,0,59.6,5.0,76.0,1140.0,608.0,0.0,Fail
242793,AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,-36.0,0,79.2,0.0,40.0,432.0,186.0,0.0,Pass
246834,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,-16.0,0,54.8,5.0,54.0,758.0,356.0,1.0,Pass
248270,AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,-198.0,0,78.9,5.0,35.0,1008.0,921.0,0.0,Pass
255548,AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,-103.0,0,68.4,1.0,143.0,1597.0,837.0,2.0,Pass
256815,AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,-117.0,0,77.7,9.0,59.0,800.0,613.0,0.0,Pass
258392,AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,-68.0,0,59.1,0.0,101.0,494.0,247.0,2.0,Pass
258894,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,-172.0,0,64.4,3.0,232.0,3346.0,1382.0,0.0,Pass
260355,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,-186.0,1,17.5,0.0,6.0,267.0,153.0,0.0,Withdrawn
262011,AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,-145.0,0,72.1,0.0,39.0,713.0,312.0,2.0,Pass
262934,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,-191.0,0,76.0,0.0,136.0,1425.0,846.0,0.0,Pass
268073,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,-33.0,0,75.5,8.0,104.0,2370.0,728.0,0.0,Fail
268733,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,-17.0,1,12.1,0.0,2.0,130.0,56.0,0.0,Withdrawn
271251,AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,-68.0,0,76.9,7.0,308.0,2015.0,1018.0,0.0,Pass
277880,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,-108.0,1,33.6,0.0,9.0,1472.0,527.0,8.0,Withdrawn
279572,AAA,2013J,M,London Region,Lower Than A Level,40-50%,0-35,0,60,-138.0,0,79.6,0.0,16.0,884.0,283.0,0.0,Distinction
281022,AAA,2013J,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,-74.0,0,73.8,0.0,14.0,351.0,127.0,0.0,Pass
281250,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,-64.0,0,54.3,1.0,7.0,68.0,54.0,0.0,Fail
281589,AAA,2013J,M,North Western Region,HE Qualification,30-40%,0-35,0,60,-50.0,0,0.0,0.0,0.0,42.0,17.0,0.0,Fail
282821,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,-107.0,0,58.8,8.0,57.0,1394.0,501.0,1.0,Pass
286488,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,-8.0,0,73.5,1.0,30.0,820.0,194.0,1.0,Pass
287548,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,-52.0,0,67.9,0.0,3.0,361.0,119.0,0.0,Pass
290201,AAA,2013J,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,-96.0,0,69.8,8.0,114.0,1027.0,591.0,0.0,Pass
290757,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,-141.0,0,74.5,0.0,305.0,200.0,147.0,0.0,Pass
291334,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,-132.0,0,82.9,14.0,172.0,3873.0,1160.0,12.0,Distinction
292923,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,-162.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Withdrawn
293699,AAA,2013J,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,-27.0,0,41.5,0.0,14.0,76.0,97.0,0.0,Pass
294570,AAA,2013J,M,South East Region,HE Qualification,90-100%,55<=,0,60,-80.0,0,78.7,3.0,35.0,1242.0,495.0,0.0,Pass
294594,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,-145.0,0,51.0,5.0,36.0,556.0,268.0,0.0,Pass
295741,AAA,2013J,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,-17.0,0,51.9,0.0,39.0,366.0,304.0,0.0,Fail
296332,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,-115.0,0,84.3,14.0,32.0,1712.0,393.0,1.0,Distinction
298696,AAA,2013J,F,South East Region,HE Qualification,80-90%,0-35,0,60,-32.0,0,81.8,3.0,48.0,274.0,189.0,0.0,Pass
300398,AAA,2013J,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,-59.0,0,78.3,0.0,70.0,1345.0,582.0,0.0,Pass
302302,AAA,2013J,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,-83.0,0,29.4,11.0,15.0,316.0,171.0,0.0,Fail
305152,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,-18.0,0,6.4,0.0,1.0,90.0,55.0,0.0,Fail
305386,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,-66.0,0,78.1,2.0,20.0,981.0,274.0,0.0,Pass
305539,AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,-54.0,1,0.0,0.0,2.0,38.0,28.0,0.0,Withdrawn
306107,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,-107.0,0,54.9,0.0,61.0,541.0,385.0,0.0,Pass
306466,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,-58.0,0,82.6,9.0,18.0,908.0,284.0,1.0,Pass
306897,AAA,2013J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,-123.0,0,60.9,0.0,35.0,1883.0,824.0,0.0,Pass
307061,AAA,2013J,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,-31.0,0,81.3,0.0,108.0,631.0,342.0,0.0,Pass
307866,AAA,2013J,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,-107.0,0,43.3,0.0,28.0,1001.0,447.0,0.0,Pass
311917,AAA,2013J,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,-121.0,0,60.4,11.0,126.0,1447.0,646.0,0.0,Pass
312537,AAA,2013J,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,-79.0,0,87.8,12.0,191.0,7688.0,4991.0,0.0,Distinction
312782,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,-59.0,0,58.5,0.0,18.0,84.0,179.0,0.0,Pass
318933,AAA,2013J,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,-100.0,0,66.6,0.0,37.0,664.0,580.0,0.0,Pass
319047,AAA,2013J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,-47.0,0,78.6,8.0,213.0,5070.0,1297.0,1.0,Pass
321942,AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,-67.0,0,80.2,14.0,240.0,7421.0,2408.0,0.0,Pass
324002,AAA,2013J,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,-32.0,0,80.2,10.0,119.0,1249.0,523.0,0.0,Pass
324084,AAA,2013J,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,-165.0,0,57.5,15.0,13.0,1438.0,495.0,0.0,Pass
324282,AAA,2013J,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,-32.0,0,64.6,0.0,3.0,58.0,72.0,0.0,Pass
331358,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,-67.0,1,8.4,11.0,86.0,1846.0,432.0,1.0,Withdrawn
332789,AAA,2013J,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,-64.0,0,75.1,3.0,44.0,1295.0,313.0,0.0,Pass
333059,AAA,2013J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,-103.0,0,62.6,0.0,13.0,173.0,114.0,1.0,Pass
333323,AAA,2013J,M,Scotland,HE Qualification,80-90%,0-35,0,60,-53.0,0,74.2,0.0,19.0,443.0,186.0,0.0,Pass
334259,AAA,2013J,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,-32.0,0,15.5,0.0,7.0,200.0,125.0,0.0,Fail
334333,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,-192.0,1,3.6,0.0,14.0,171.0,118.0,0.0,Withdrawn
335764,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,-196.0,1,43.2,0.0,60.0,1554.0,672.0,0.0,Withdrawn
336207,AAA,2013J,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,-110.0,0,67.4,20.0,17.0,893.0,386.0,0.0,Pass
339972,AAA,2013J,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,-57.0,0,47.8,0.0,15.0,197.0,121.0,0.0,Pass
341872,AAA,2013J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,48.0,0,63.8,0.0,9.0,79.0,113.0,0.0,Fail
342007,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,-71.0,1,7.5,0.0,53.0,510.0,317.0,0.0,Withdrawn
342514,AAA,2013J,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,-81.0,0,78.4,6.0,98.0,1406.0,440.0,0.0,Pass
342972,AAA,2013J,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,-60.0,0,61.5,0.0,46.0,455.0,336.0,1.0,Pass
343446,AAA,2013J,M,Ireland,HE Qualification,70-80%,35-55,0,120,-49.0,0,79.6,3.0,59.0,2732.0,850.0,0.0,Pass
344282,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,-12.0,0,47.4,0.0,3.0,23.0,39.0,0.0,Fail
345068,AAA,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,-37.0,0,79.5,4.0,11.0,377.0,155.0,0.0,Pass
345357,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,-18.0,0,82.0,8.0,91.0,1570.0,550.0,0.0,Distinction
346025,AAA,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,-75.0,0,82.4,0.0,13.0,270.0,286.0,0.0,Pass
346843,AAA,2013J,F,Scotland,HE Qualification,50-60%,35-55,0,120,-44.0,0,0.0,0.0,3.0,118.0,43.0,0.0,Fail
350188,AAA,2013J,M,North Western Region,HE Qualification,80-90%,35-55,0,60,-49.0,0,73.4,5.0,39.0,459.0,258.0,0.0,Pass
354858,AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,-32.0,1,0.0,0.0,6.0,148.0,44.0,0.0,Withdrawn
357668,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,-38.0,0,29.3,0.0,13.0,52.0,99.0,2.0,Fail
364177,AAA,2013J,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,-129.0,0,48.8,0.0,43.0,580.0,198.0,0.0,Fail
365244,AAA,2013J,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,-38.0,0,55.6,7.0,40.0,646.0,198.0,0.0,Pass
365642,AAA,2013J,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,-52.0,0,70.4,5.0,63.0,1220.0,840.0,1.0,Pass
366483,AAA,2013J,M,South West Region,HE Qualification,40-50%,0-35,0,60,-4.0,0,77.0,19.0,81.0,845.0,520.0,0.0,Pass
368194,AAA,2013J,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,-123.0,0,49.1,0.0,36.0,251.0,150.0,0.0,Pass
